Date,Account,Transaction Type,Category,Sub-Category,Quickbooks Category,Description, Amount ,Status,Notes,Ben Review
8/12/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$1,817.85 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/12/25,Winslow - Checking *2917,Deposit,Other Income,Uncategorized Income,Uncategorized Income,"Deposits, Orig CO Name:Square Inc",$4.55 ,Amber,Revenue/Deposit  no concerns; aligns with operating activity.,Y
8/12/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Beverage Expense,Beverage Expense,"COGS:Beverage Purchases:Beer, ANHEUSER-BUSCH",($406.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/12/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Beverage Expense,Beverage Expense,"COGS:Beverage Purchases:Beer, Manhattan Beer Distributors","($1,482.82)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/12/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Food Expense,Food Expense,"COGS:Food Purchases, Baldor","($2,419.66)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/12/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Repairs & Maintenance,Repairs & Maintenance,"exterminator, Zelle payment to Matt Hill Exterminator",($176.00),Amber,Fixed recurring expense  ensure proper invoice and coding.,Y
8/12/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Wage Pay,ADP - Wage Pay,"Payroll Liabilities:Net Payroll, Orig CO Name: ADP WAGE PAY","($12,892.08)",Amber,Recurring labor cost  verify payroll details; monitor for trend.,Y
8/12/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Music/DJ,Music/DJ,"Music and Entertainment, Navigator entertainment",($350.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/12/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Tax,ADP - Tax,"Payroll Liabilities, Orig CO Name:ADP Tax","($5,356.08)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/13/25,Winslow - Checking *2917,Check,Other Expense,Repairs & Maintenance,Repairs & Maintenance,13192 Roger Cabezas HVAC,"($1,110.53)",Amber,Fixed recurring expense  ensure proper invoice and coding.,Y
8/13/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$2,387.63 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/13/25,Winslow - Checking *2917,Deposit,Other Income,Uncategorized Income,Uncategorized Income,"Deposits, Orig CO Name:Square Inc",$4.55 ,Amber,Revenue/Deposit  no concerns; aligns with operating activity.,Y
8/13/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Beverage Expense,Beverage Expense,"COGS:Beverage Purchases:Beer, Manhattan Beer Distributors","($1,399.64)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/13/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Beverage Expense,Beverage Expense,"COGS:Beverage Purchases: Soda/Juice/Bar Mixers, Mark Tafoya",($86.40),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/13/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Beverage Expense,Beverage Expense,"COGS:Beverage Purchases: Liquor, EMPIRE MERCHANTS","($1,185.96)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/13/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Beverage Expense,Beverage Expense,"COGS:Beverage Purchases:Liquor, Cazanove Opici W","($1,181.59)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/13/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Food Expense,Food Expense,"COGS:Food Purchases, Woolco Foods Inc","($1,603.73)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/13/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Pay-by-Pay,ADP - Pay-by-Pay,"Insurance Expense, Orig CO Name: ADP PAY-BY-PAY",($170.85),Amber,Recurring labor cost  verify payroll details; monitor for trend.,Y
8/14/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$2,545.24 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/14/25,Winslow - Checking *2917,Deposit,Other Income,Uncategorized Income,Uncategorized Income,"Deposits, Orig CO Name:Square Inc",$4.55 ,Amber,Revenue/Deposit  no concerns; aligns with operating activity.,Y
8/15/25,Winslow - Checking *2917,Check,Cost of Goods Sold,Supplies & Packaging Expense,Supplies & Packaging Expense,13188 Coast,($336.03),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/15/25,Winslow - Checking *2917,Check,Taxes,Taxes & Licenses,Taxes & Licenses,13191 NYS Dept of Tax,($604.50),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/15/25,Winslow - Checking *2917,Deposit,Event/Gin Club/Other Sales,Event/Gin Club/Other Sales,Event/Gin Club/Other Sales,"Deposits, Purple Pass 1",$385.00 ,Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/15/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$4,348.38 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/15/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Payroll Fees,ADP - Payroll Fees,"payroll processing fees, Orig CO Name: ADP PAYROLL FEES",($71.70),Amber,Recurring labor cost  verify payroll details; monitor for trend.,Y
8/15/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Loan Repayment,Loan Repayment,"SBA Loan, Orig CO Name:SBA LOAN",($800.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/15/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Marketing/Advertising,Marketing/Advertising,"Advertising and Promotion, Chair up",($162.05),Amber,Marketing expense  check supporting invoice; validate vendor classification.,Y
8/16/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SPICETECH LLC",$187.27 ,Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/17/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Marketing/Advertising,Marketing/Advertising,"Advertising and Promotion, Zelle payment to MADELINE",($50.00),Amber,Marketing expense  check supporting invoice; validate vendor classification.,Y
8/17/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Music/DJ,Music/DJ,"Music and Entertainment, Dave Music",($150.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/17/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Music/DJ,Music/DJ,"Music and Entertainment, Alex Miller",($150.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/18/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$8,697.55 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/18/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$6,176.08 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/18/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$3,239.03 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/18/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Wage Pay,ADP - Wage Pay,"Payroll Liabilities:Net Payroll, Orig CO Name: ADP WAGE PAY","($12,033.81)",Amber,Recurring labor cost  verify payroll details; monitor for trend.,Y
8/18/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Music/DJ,Music/DJ,"Music and Entertainment, Navigator entertainment",($350.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/19/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$3,743.66 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/19/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Internet/Phone/TV,Internet/Phone/TV,"Telephone Expense, Verizon Wireless",($244.55),Amber,Fixed recurring expense  ensure proper invoice and coding.,Y
8/19/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Tax,ADP - Tax,"Payroll Liabilities, Orig CO Name:ADP Tax","($4,903.85)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/20/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$3,995.23 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/20/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Beverage Expense,Beverage Expense,"COGS:Beverage Purchases:Liquor, Winebow",($517.14),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/20/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Beverage Expense,Beverage Expense,"COGS:Beverage Purchases:Liquor, Park Street Imports",($263.88),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/20/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Utilities,Utilities,"Utilities, Con Edison","($4,487.69)",Amber,Fixed recurring expense  ensure proper invoice and coding.,Y
8/20/25,Winslow - Checking *2917,Electronic Withdrawal,Taxes,Taxes & Licenses,Taxes & Licenses,"Sales Tax Payable, nys sales tax","($8,150.45)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/21/25,Winslow - Checking *2917,Deposit,Event/Gin Club/Other Sales,Event/Gin Club/Other Sales,Event/Gin Club/Other Sales,"Deposits, Orig CO Name:PULSD INC.",$52.00 ,Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/21/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$1,753.18 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/21/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Pay-by-Pay,ADP - Pay-by-Pay,"Insurance Expense, Orig CO Name: ADP PAY-BY-PAY",($154.22),Amber,Fixed recurring expense  ensure proper invoice and coding.,Y
8/22/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$2,675.67 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/22/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Payroll Fees,ADP - Payroll Fees,"payroll processing fees, Orig CO Name:ADP PAYROLL FEES",($83.20),Amber,Recurring labor cost  verify payroll details; monitor for trend.,Y
8/22/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Marketing/Advertising,Marketing/Advertising,"Advertising and Promotion, Chair up",($219.74),Amber,Marketing expense  check supporting invoice; validate vendor classification.,Y
8/23/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$5,151.86 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/25/25,Winslow - Checking *2917,Deposit,Event/Gin Club/Other Sales,Event/Gin Club/Other Sales,Event/Gin Club/Other Sales,"Deposits, Purple Pass 1",$630.00 ,Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/25/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$5,211.44 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/25/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$10,209.79 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/25/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Internet/Phone/TV,Internet/Phone/TV,"Telephone Expense, T-Mobile",($196.20),Amber,Fixed recurring expense  ensure proper invoice and coding.,Y
8/25/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Music/DJ,Music/DJ,"Music and Entertainment, Dave Music",($150.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/25/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Music/DJ,Music/DJ,"Music and Entertainment, Navigator entertainment",($350.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/25/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Music/DJ,Music/DJ,"Music and Entertainment, Alex Miller",($150.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/26/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$3,941.60 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/26/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Beverage Expense,Beverage Expense,"COGS:Beverage Purchases:Liquor, MS WALKER","($2,507.67)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/26/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Beverage Expense,Beverage Expense,"COGS:Beverage Purchases:Beer, Manhattan Beer Distributors","($2,850.90)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/26/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Beverage Expense,Beverage Expense,"COGS:Beverage Purchases:Liquor, EMPIRE MERCHANTS","($2,387.00)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/26/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Beverage Expense,Beverage Expense,"COGS:Beverage Purchases:Liquor, Redbull US",($86.40),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/26/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Wage Pay,ADP - Wage Pay,"Payroll Liabilities:Net Payroll, Orig CO Name: ADP WAGE PAY","($12,583.06)",Amber,Recurring labor cost  verify payroll details; monitor for trend.,Y
8/26/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Tax,ADP - Tax,"Payroll Liabilities, Orig CO Name:ADP Tax","($5,151.41)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/27/25,Winslow - Checking *2917,Check,Other Expense,Repairs & Maintenance,Repairs & Maintenance,13194 Roger Cabazas HVAC,"($2,231.94)",Amber,Fixed recurring expense  ensure proper invoice and coding.,Y
8/27/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$3,639.00 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/27/25,Winslow - Checking *2917,Electronic Withdrawal,Fixed Expense,Insurance,Insurance,"Insurance Expense, Orig CO Name:ADP PAY-BY-PAY",($163.87),Amber,Fixed recurring expense  ensure proper invoice and coding.,Y
8/28/25,Winslow - Checking *2917,Check,Fixed Expense,Rent/Lease,Rent/Lease,13193 Marisol RE,"($20,000.00)",Amber,Fixed recurring expense  ensure proper invoice and coding.,Y
8/28/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$2,302.79 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/29/25,Winslow - Checking *2917,Check,Cost of Goods Sold,Beverage Expense,Beverage Expense,13195 Redbull US,($86.40),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/29/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$4,114.08 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/29/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Payroll Fees,ADP - Payroll Fees,"payroll processing fees, Orig CO Name:ADP PAYROLL FEES",($72.98),Amber,Recurring labor cost  verify payroll details; monitor for trend.,Y
8/29/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Marketing/Advertising,Marketing/Advertising,"Advertising and Promotion, Orig CO Name:Seated New Gue",($113.97),Amber,Marketing expense  check supporting invoice; validate vendor classification.,Y
8/29/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Music/DJ,Music/DJ,"Music and Entertainment, NYC Trivia","($1,400.00)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/2/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$8,563.38 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/2/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$4,275.08 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/2/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$6,537.20 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/2/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$4,398.50 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
9/2/25,Winslow - Checking *2917,Electronic Withdrawal,Cost of Goods Sold,Food Expense,Food Expense,Orig CO Name: Baldor Specialty Orig ID:4270465600 Desc Date: CO Entry Descr:Baldor Spesec:Web Sec:CCD Trace#:111000024856104 Eed:250902 Ind ID:St-M4E9N9O1Q1C1 Ind Name:The Winslow Trn:2454856104Tc,"($2,592.14)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/2/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Uncategorized Expense,Uncategorized Expense,Orig CO Name: Shift4 Orig ID:1731435739 Desc Date:250831 CO Entry Descr:Fees Sec:CCD Trace#:011500124856106 Eed:250902 Ind ID:068880021774459 Ind Name:The Winslow Trn:2454856106Tc,($58.12),Red,Unusual or unclear transaction  confirm business purpose and obtain supporting documents.,
9/2/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Uncategorized Expense,Uncategorized Expense,Orig CO Name: Shift4 Orig ID:1731435739 Desc Date:250829 CO Entry Descr:Chg Backs Sec:CCD Trace#:011500124856102 Eed:250902 Ind ID:068880021774459 Ind Name:The Winslow Trn:2454856102Tc,($58.06),Red,Unusual or unclear transaction  confirm business purpose and obtain supporting documents.,
9/2/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Wage Pay,ADP - Wage Pay,Orig CO Name: ADP Wage Pay Orig ID:9333006057 Desc Date:250902 CO Entry Descr:Wage Pay Sec:CCD Trace#:021000025053203 Eed:250902 Ind ID:940336135887Gjo Ind Name:243 E 14th Cafe Inc th 323298036 Trn:2455053203Tc,"($11,994.13)",Amber,Recurring labor cost  verify payroll details; monitor for trend.,Y
9/2/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Music/DJ,Music/DJ,"Music/Entertainment, Rodney Flood",($150.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/2/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Music/DJ,Music/DJ,"Music/Entertainment, Brian Music",($150.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/2/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Tax,ADP - Tax,Orig CO Name: ADP Tax Orig ID:1223006057 Desc Date:250902 CO Entry Descr:ADP Tax Sec:CCD Trace#:021000025053201 Eed:250902 Ind ID:Lugjo 090334A01 Ind Name:243 E 14th Cafe Inc Trn:2455053201Tc,"($4,822.88)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
9/3/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$2,636.69 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
